"Initial_Coral","Fishing_Pressure","Final_Coral","betaT","betaM"
0.54,0.22,0.67739920070768,0.7,0.3
0.56,0.22,0.67739920070768,0.7,0.3
0.58,0.22,0.67739920070768,0.7,0.3
0.6,0.22,0.67739920070768,0.7,0.3
0.62,0.22,0.67739920070768,0.7,0.3
0.64,0.22,0.67739920070768,0.7,0.3
0.66,0.22,0.67739920070768,0.7,0.3
0.68,0.22,0.67739920070768,0.7,0.3
0.7,0.22,0.67739920070768,0.7,0.3
0.72,0.22,0.67739920070768,0.7,0.3
0.74,0.22,0.677399200707686,0.7,0.3
0.76,0.22,0.677399200707686,0.7,0.3
0.78,0.22,0.677399200707686,0.7,0.3
0.8,0.22,0.677399200707686,0.7,0.3
0.82,0.22,0.677399200707686,0.7,0.3
0.84,0.22,0.677399200707686,0.7,0.3
0,0.24,0.675174387071531,0.7,0.3
0.02,0.24,0.675174387071531,0.7,0.3
0.04,0.24,0.675174387071531,0.7,0.3
0.06,0.24,0.675174387071531,0.7,0.3
0.08,0.24,0.675174387071531,0.7,0.3
0.1,0.24,0.675174387071531,0.7,0.3
0.12,0.24,0.675174387071531,0.7,0.3
0.14,0.24,0.675174387071531,0.7,0.3
0.16,0.24,0.675174387071531,0.7,0.3
0.18,0.24,0.675174387071531,0.7,0.3
0.2,0.24,0.675174387071531,0.7,0.3
0.22,0.24,0.675174387071531,0.7,0.3
0.24,0.24,0.675174387071531,0.7,0.3
0.26,0.24,0.675174387071531,0.7,0.3
0.28,0.24,0.675174387071531,0.7,0.3
0.3,0.24,0.675174387071531,0.7,0.3
0.32,0.24,0.675174387071531,0.7,0.3
0.34,0.24,0.675174387071531,0.7,0.3
0.36,0.24,0.675174387071531,0.7,0.3
0.38,0.24,0.675174387071531,0.7,0.3
0.4,0.24,0.675174387071531,0.7,0.3
0.42,0.24,0.675174387071531,0.7,0.3
0.44,0.24,0.675174387071531,0.7,0.3
0.46,0.24,0.675174387071531,0.7,0.3
0.48,0.24,0.675174387071531,0.7,0.3
0.5,0.24,0.675174387071531,0.7,0.3
0.52,0.24,0.675174387071531,0.7,0.3
0.54,0.24,0.675174387071531,0.7,0.3
0.56,0.24,0.675174387071531,0.7,0.3
0.58,0.24,0.675174387071531,0.7,0.3
0.6,0.24,0.675174387071531,0.7,0.3
0.62,0.24,0.675174387071531,0.7,0.3
0.64,0.24,0.675174387071531,0.7,0.3
0.66,0.24,0.675174387071531,0.7,0.3
0.68,0.24,0.675174387071531,0.7,0.3
0.7,0.24,0.675174387071531,0.7,0.3
0.72,0.24,0.675174387071537,0.7,0.3
0.74,0.24,0.675174387071537,0.7,0.3
0.76,0.24,0.675174387071537,0.7,0.3
0.78,0.24,0.675174387071537,0.7,0.3
0.8,0.24,0.675174387071537,0.7,0.3
0.82,0.24,0.675174387071537,0.7,0.3
0.84,0.24,0.675174387071537,0.7,0.3
0,0.26,0.672747814789474,0.7,0.3
0.02,0.26,0.672747814789474,0.7,0.3
0.04,0.26,0.672747814789474,0.7,0.3
0.06,0.26,0.672747814789474,0.7,0.3
0.08,0.26,0.672747814789474,0.7,0.3
0.1,0.26,0.672747814789474,0.7,0.3
0.12,0.26,0.672747814789474,0.7,0.3
0.14,0.26,0.672747814789474,0.7,0.3
0.16,0.26,0.672747814789474,0.7,0.3
0.18,0.26,0.672747814789474,0.7,0.3
0.2,0.26,0.672747814789474,0.7,0.3
0.22,0.26,0.672747814789474,0.7,0.3
0.24,0.26,0.672747814789474,0.7,0.3
0.26,0.26,0.672747814789474,0.7,0.3
0.28,0.26,0.672747814789474,0.7,0.3
0.3,0.26,0.672747814789474,0.7,0.3
0.32,0.26,0.672747814789474,0.7,0.3
0.34,0.26,0.672747814789474,0.7,0.3
0.36,0.26,0.672747814789474,0.7,0.3
